EventTime,EventType,Event
,AGENT_TYPE,ExchangeAgent
2020-01-13 00:00:00.000353853,WHEN_MKT_CLOSE,477
2020-01-13 00:00:00.000353947,WHEN_MKT_OPEN,1375
2020-01-13 00:00:00.000353947,WHEN_MKT_CLOSE,1375
2020-01-13 00:00:00.000354802,WHEN_MKT_OPEN,4991
2020-01-13 00:00:00.000354802,WHEN_MKT_CLOSE,4991
2020-01-13 00:00:00.000358733,WHEN_MKT_OPEN,3623
2020-01-13 00:00:00.000358733,WHEN_MKT_CLOSE,3623
2020-01-13 00:00:00.000359515,WHEN_MKT_OPEN,3964
2020-01-13 00:00:00.000359515,WHEN_MKT_CLOSE,3964
2020-01-13 00:00:00.000361953,WHEN_MKT_OPEN,876
2020-01-13 00:00:00.000361953,WHEN_MKT_CLOSE,876
2020-01-13 00:00:00.000362641,WHEN_MKT_OPEN,4844
2020-01-13 00:00:00.000362641,WHEN_MKT_CLOSE,4844
2020-01-13 00:00:00.000362827,WHEN_MKT_OPEN,4714
2020-01-13 00:00:00.000362827,WHEN_MKT_CLOSE,4714
2020-01-13 00:00:00.000365119,WHEN_MKT_OPEN,4184
2020-01-13 00:00:00.000365119,WHEN_MKT_CLOSE,4184
2020-01-13 00:00:00.000365984,WHEN_MKT_OPEN,4386
2020-01-13 00:00:00.000365984,WHEN_MKT_CLOSE,4386
2020-01-13 00:00:00.000370926,WHEN_MKT_OPEN,4811
2020-01-13 00:00:00.000370926,WHEN_MKT_CLOSE,4811
2020-01-13 00:00:00.000372034,WHEN_MKT_OPEN,544
2020-01-13 00:00:00.000372034,WHEN_MKT_CLOSE,544
2020-01-13 00:00:00.000377458,WHEN_MKT_OPEN,2517
2020-01-13 00:00:00.000377458,WHEN_MKT_CLOSE,2517
2020-01-13 00:00:00.000377622,WHEN_MKT_OPEN,97
2020-01-13 00:00:00.000377622,WHEN_MKT_CLOSE,97
2020-01-13 00:00:00.000381217,WHEN_MKT_OPEN,1758
2020-01-13 00:00:00.000381217,WHEN_MKT_CLOSE,1758
2020-01-13 00:00:00.000381667,WHEN_MKT_OPEN,3247
2020-01-13 00:00:00.000381667,WHEN_MKT_CLOSE,3247
2020-01-13 00:00:00.000382178,WHEN_MKT_OPEN,1482
2020-01-13 00:00:00.000382178,WHEN_MKT_CLOSE,1482
2020-01-13 00:00:00.000384489,WHEN_MKT_OPEN,2130
2020-01-13 00:00:00.000384489,WHEN_MKT_CLOSE,2130
2020-01-13 00:00:00.000385262,WHEN_MKT_OPEN,4300
2020-01-13 00:00:00.000385262,WHEN_MKT_CLOSE,4300
2020-01-13 00:00:00.000393394,WHEN_MKT_OPEN,2878
2020-01-13 00:00:00.000393394,WHEN_MKT_CLOSE,2878
2020-01-13 00:00:00.000395547,WHEN_MKT_OPEN,1854
2020-01-13 00:00:00.000395547,WHEN_MKT_CLOSE,1854
2020-01-13 00:00:00.000395791,WHEN_MKT_OPEN,3365
2020-01-13 00:00:00.000395791,WHEN_MKT_CLOSE,3365
2020-01-13 00:00:00.000399170,WHEN_MKT_OPEN,4724
2020-01-13 00:00:00.000399170,WHEN_MKT_CLOSE,4724
2020-01-13 00:00:00.000399838,WHEN_MKT_OPEN,1633
2020-01-13 00:00:00.000399838,WHEN_MKT_CLOSE,1633
2020-01-13 00:00:00.000403354,WHEN_MKT_OPEN,3369
2020-01-13 00:00:00.000403354,WHEN_MKT_CLOSE,3369
2020-01-13 00:00:00.000403820,WHEN_MKT_OPEN,3994
2020-01-13 00:00:00.000403820,WHEN_MKT_CLOSE,3994
2020-01-13 00:00:00.000406579,WHEN_MKT_OPEN,909
2020-01-13 00:00:00.000406579,WHEN_MKT_CLOSE,909
2020-01-13 00:00:00.000415449,WHEN_MKT_OPEN,3886
2020-01-13 00:00:00.000415449,WHEN_MKT_CLOSE,3886
2020-01-13 00:00:00.000416930,WHEN_MKT_OPEN,2772
2020-01-13 00:00:00.000416930,WHEN_MKT_CLOSE,2772
2020-01-13 00:00:00.000418201,WHEN_MKT_OPEN,4488
2020-01-13 00:00:00.000418201,WHEN_MKT_CLOSE,4488
2020-01-13 00:00:00.000420833,WHEN_MKT_OPEN,1085
2020-01-13 00:00:00.000420833,WHEN_MKT_CLOSE,1085
2020-01-13 00:00:00.000421150,WHEN_MKT_OPEN,1077
2020-01-13 00:00:00.000421150,WHEN_MKT_CLOSE,1077
2020-01-13 00:00:00.000422183,WHEN_MKT_OPEN,4140
2020-01-13 00:00:00.000422183,WHEN_MKT_CLOSE,4140
2020-01-13 00:00:00.000423749,WHEN_MKT_OPEN,2738
2020-01-13 00:00:00.000423749,WHEN_MKT_CLOSE,2738
2020-01-13 00:00:00.000425553,WHEN_MKT_OPEN,1185
2020-01-13 00:00:00.000425553,WHEN_MKT_CLOSE,1185
2020-01-13 00:00:00.000425690,WHEN_MKT_OPEN,3648
2020-01-13 00:00:00.000425690,WHEN_MKT_CLOSE,3648
2020-01-13 00:00:00.000427671,WHEN_MKT_OPEN,4992
2020-01-13 00:00:00.000427671,WHEN_MKT_CLOSE,4992
2020-01-13 00:00:00.000427824,WHEN_MKT_OPEN,4170
2020-01-13 00:00:00.000427824,WHEN_MKT_CLOSE,4170
2020-01-13 00:00:00.000434334,WHEN_MKT_OPEN,3830
2020-01-13 00:00:00.000434334,WHEN_MKT_CLOSE,3830
2020-01-13 00:00:00.000434465,WHEN_MKT_OPEN,774
2020-01-13 00:00:00.000434465,WHEN_MKT_CLOSE,774
2020-01-13 00:00:00.000437341,WHEN_MKT_OPEN,1657
