AgentID,AgentStrategy,EventType,Event
399,NoiseAgent,STARTING_CASH,10000000.0
400,NoiseAgent,STARTING_CASH,10000000.0
401,NoiseAgent,STARTING_CASH,10000000.0
402,NoiseAgent,STARTING_CASH,10000000.0
403,NoiseAgent,STARTING_CASH,10000000.0
404,NoiseAgent,STARTING_CASH,10000000.0
405,NoiseAgent,STARTING_CASH,10000000.0
406,NoiseAgent,STARTING_CASH,10000000.0
407,NoiseAgent,STARTING_CASH,10000000.0
408,NoiseAgent,STARTING_CASH,10000000.0
409,NoiseAgent,STARTING_CASH,10000000.0
410,NoiseAgent,STARTING_CASH,10000000.0
411,NoiseAgent,STARTING_CASH,10000000.0
412,NoiseAgent,STARTING_CASH,10000000.0
413,NoiseAgent,STARTING_CASH,10000000.0
414,NoiseAgent,STARTING_CASH,10000000.0
415,NoiseAgent,STARTING_CASH,10000000.0
416,NoiseAgent,STARTING_CASH,10000000.0
417,NoiseAgent,STARTING_CASH,10000000.0
418,NoiseAgent,STARTING_CASH,10000000.0
419,NoiseAgent,STARTING_CASH,10000000.0
420,NoiseAgent,STARTING_CASH,10000000.0
421,NoiseAgent,STARTING_CASH,10000000.0
422,NoiseAgent,STARTING_CASH,10000000.0
423,NoiseAgent,STARTING_CASH,10000000.0
424,NoiseAgent,STARTING_CASH,10000000.0
425,NoiseAgent,STARTING_CASH,10000000.0
426,NoiseAgent,STARTING_CASH,10000000.0
427,NoiseAgent,STARTING_CASH,10000000.0
428,NoiseAgent,STARTING_CASH,10000000.0
429,NoiseAgent,STARTING_CASH,10000000.0
430,NoiseAgent,STARTING_CASH,10000000.0
431,NoiseAgent,STARTING_CASH,10000000.0
432,NoiseAgent,STARTING_CASH,10000000.0
433,NoiseAgent,STARTING_CASH,10000000.0
434,NoiseAgent,STARTING_CASH,10000000.0
435,NoiseAgent,STARTING_CASH,10000000.0
436,NoiseAgent,STARTING_CASH,10000000.0
437,NoiseAgent,STARTING_CASH,10000000.0
438,NoiseAgent,STARTING_CASH,10000000.0
439,NoiseAgent,STARTING_CASH,10000000.0
440,NoiseAgent,STARTING_CASH,10000000.0
441,NoiseAgent,STARTING_CASH,10000000.0
442,NoiseAgent,STARTING_CASH,10000000.0
443,NoiseAgent,STARTING_CASH,10000000.0
444,NoiseAgent,STARTING_CASH,10000000.0
445,NoiseAgent,STARTING_CASH,10000000.0
446,NoiseAgent,STARTING_CASH,10000000.0
447,NoiseAgent,STARTING_CASH,10000000.0
448,NoiseAgent,STARTING_CASH,10000000.0
449,NoiseAgent,STARTING_CASH,10000000.0
450,NoiseAgent,STARTING_CASH,10000000.0
451,NoiseAgent,STARTING_CASH,10000000.0
452,NoiseAgent,STARTING_CASH,10000000.0
453,NoiseAgent,STARTING_CASH,10000000.0
454,NoiseAgent,STARTING_CASH,10000000.0
455,NoiseAgent,STARTING_CASH,10000000.0
456,NoiseAgent,STARTING_CASH,10000000.0
457,NoiseAgent,STARTING_CASH,10000000.0
458,NoiseAgent,STARTING_CASH,10000000.0
459,NoiseAgent,STARTING_CASH,10000000.0
460,NoiseAgent,STARTING_CASH,10000000.0
461,NoiseAgent,STARTING_CASH,10000000.0
462,NoiseAgent,STARTING_CASH,10000000.0
463,NoiseAgent,STARTING_CASH,10000000.0
464,NoiseAgent,STARTING_CASH,10000000.0
465,NoiseAgent,STARTING_CASH,10000000.0
466,NoiseAgent,STARTING_CASH,10000000.0
467,NoiseAgent,STARTING_CASH,10000000.0
468,NoiseAgent,STARTING_CASH,10000000.0
469,NoiseAgent,STARTING_CASH,10000000.0
470,NoiseAgent,STARTING_CASH,10000000.0
471,NoiseAgent,STARTING_CASH,10000000.0
472,NoiseAgent,STARTING_CASH,10000000.0
473,NoiseAgent,STARTING_CASH,10000000.0
474,NoiseAgent,STARTING_CASH,10000000.0
475,NoiseAgent,STARTING_CASH,10000000.0
476,NoiseAgent,STARTING_CASH,10000000.0
477,NoiseAgent,STARTING_CASH,10000000.0
478,NoiseAgent,STARTING_CASH,10000000.0
