time,price_dollars,side,qty
2020-01-13 09:30:00.016139119,998.45,BID,40
2020-01-13 09:30:00.016139119,998.46,BID,29
2020-01-13 09:30:00.016139119,998.59,ASK,116
2020-01-13 09:30:00.016139119,999.16,ASK,31
2020-01-13 09:30:00.016139119,999.8,ASK,21
2020-01-13 09:30:00.016139119,999.84,ASK,31
2020-01-13 09:30:00.016139119,1000.18,ASK,47
2020-01-13 09:30:00.016139119,1000.66,ASK,22
2020-01-13 09:30:00.016139119,1000.8,ASK,49
2020-01-13 09:30:00.017351183,997.24,BID,42
2020-01-13 09:30:00.017351183,997.25,BID,21
2020-01-13 09:30:00.017351183,997.31,BID,48
2020-01-13 09:30:00.017351183,997.37,BID,34
2020-01-13 09:30:00.017351183,997.44,BID,26
2020-01-13 09:30:00.017351183,997.72,BID,23
2020-01-13 09:30:00.017351183,997.75,BID,20
2020-01-13 09:30:00.017351183,997.78,BID,46
2020-01-13 09:30:00.017351183,997.86,BID,39
2020-01-13 09:30:00.017351183,997.87,BID,44
2020-01-13 09:30:00.017351183,997.89,BID,65
2020-01-13 09:30:00.017351183,997.91,BID,2177
2020-01-13 09:30:00.017351183,998.03,BID,34
2020-01-13 09:30:00.017351183,998.13,BID,28
2020-01-13 09:30:00.017351183,998.14,BID,41
2020-01-13 09:30:00.017351183,998.19,BID,37
2020-01-13 09:30:00.017351183,998.22,BID,33
2020-01-13 09:30:00.017351183,998.59,ASK,329
2020-01-13 09:30:00.017351183,999.8,ASK,21
2020-01-13 09:30:00.017351183,999.84,ASK,31
2020-01-13 09:30:00.017351183,1000.18,ASK,47
2020-01-13 09:30:00.017351183,1000.66,ASK,22
2020-01-13 09:30:00.017351183,1000.8,ASK,49
2020-01-13 09:30:00.018282456,997.24,BID,42
2020-01-13 09:30:00.018282456,997.25,BID,21
2020-01-13 09:30:00.018282456,997.31,BID,48
2020-01-13 09:30:00.018282456,997.37,BID,34
2020-01-13 09:30:00.018282456,997.44,BID,26
2020-01-13 09:30:00.018282456,997.72,BID,23
2020-01-13 09:30:00.018282456,997.75,BID,20
2020-01-13 09:30:00.018282456,997.78,BID,46
2020-01-13 09:30:00.018282456,997.86,BID,39
2020-01-13 09:30:00.018282456,997.87,BID,44
2020-01-13 09:30:00.018282456,997.89,BID,65
2020-01-13 09:30:00.018282456,997.91,BID,2177
2020-01-13 09:30:00.018282456,998.03,BID,34
2020-01-13 09:30:00.018282456,998.12,BID,23
2020-01-13 09:30:00.018282456,998.13,BID,28
2020-01-13 09:30:00.018282456,998.14,BID,41
2020-01-13 09:30:00.018282456,998.19,BID,37
2020-01-13 09:30:00.018282456,998.22,BID,33
2020-01-13 09:30:00.018282456,998.27,BID,37
2020-01-13 09:30:00.018282456,998.59,ASK,478
2020-01-13 09:30:00.018282456,999.8,ASK,21
2020-01-13 09:30:00.018282456,999.84,ASK,31
2020-01-13 09:30:00.018282456,1000.18,ASK,47
2020-01-13 09:30:00.018282456,1000.66,ASK,22
2020-01-13 09:30:00.018282456,1000.8,ASK,49
2020-01-13 09:30:00.019362728,997.24,BID,42
2020-01-13 09:30:00.019362728,997.25,BID,21
2020-01-13 09:30:00.019362728,997.31,BID,48
2020-01-13 09:30:00.019362728,997.37,BID,34
2020-01-13 09:30:00.019362728,997.44,BID,26
