EventTime,agent_id,time_placed,symbol,quantity,is_buy_order,order_id,fill_price,tag,limit_price
2020-01-13 09:30:00.002450163,3952,2020-01-13T09:30:00.001633453,ABM,7,0,174,99859,,99791
2020-01-13 09:30:00.002450163,4541,2020-01-13T09:30:00.001626140,ABM,7,1,172,99859,,99859
2020-01-13 09:30:00.002450163,3952,2020-01-13T09:30:00.001633453,ABM,2,0,174,99791,,99791
2020-01-13 09:30:00.002450163,888,2020-01-13T09:30:00.000571176,ABM,2,1,62,99791,,99791
2020-01-13 09:30:00.002450163,3952,2020-01-13T09:30:00.001633453,ABM,29,0,174,99791,,99791
2020-01-13 09:30:00.002450163,1801,2020-01-13T09:30:00.000579377,ABM,29,1,63,99791,,99791
2020-01-13 09:30:00.002455509,4117,2020-01-13T09:30:00.001637021,ABM,25,0,176,99859,,99791
2020-01-13 09:30:00.002455509,2937,2020-01-13T09:30:00.001634579,ABM,25,1,175,99859,,99859
2020-01-13 09:30:00.002455509,4117,2020-01-13T09:30:00.001637021,ABM,3,0,176,99791,,99791
2020-01-13 09:30:00.002455509,1801,2020-01-13T09:30:00.000579377,ABM,3,1,63,99791,,99791
2020-01-13 09:30:00.002517210,2573,2020-01-13T09:30:00.001678138,ABM,27,0,183,99859,,99791
2020-01-13 09:30:00.002517210,1036,2020-01-13T09:30:00.001646376,ABM,27,1,177,99859,,99859
2020-01-13 09:30:00.002524848,4705,2020-01-13T09:30:00.001683237,ABM,9,0,184,99859,,99791
2020-01-13 09:30:00.002524848,1036,2020-01-13T09:30:00.001646376,ABM,9,1,177,99859,,99859
2020-01-13 09:30:00.002524848,4705,2020-01-13T09:30:00.001683237,ABM,24,0,184,99859,,99791
2020-01-13 09:30:00.002524848,439,2020-01-13T09:30:00.001659055,ABM,24,1,178,99859,,99859
2020-01-13 09:30:00.002564745,809,2020-01-13T09:30:00.001709819,ABM,3,0,186,99859,,99791
2020-01-13 09:30:00.002564745,439,2020-01-13T09:30:00.001659055,ABM,3,1,178,99859,,99859
2020-01-13 09:30:00.002564745,809,2020-01-13T09:30:00.001709819,ABM,17,0,186,99859,,99791
2020-01-13 09:30:00.002564745,498,2020-01-13T09:30:00.001659522,ABM,17,1,179,99859,,99859
2020-01-13 09:30:00.002586540,4882,2020-01-13T09:30:00.001724346,ABM,21,0,190,99859,,99791
2020-01-13 09:30:00.002586540,498,2020-01-13T09:30:00.001659522,ABM,21,1,179,99859,,99859
2020-01-13 09:30:00.002586540,4882,2020-01-13T09:30:00.001724346,ABM,22,0,190,99859,,99791
2020-01-13 09:30:00.002586540,1431,2020-01-13T09:30:00.001661510,ABM,22,1,180,99859,,99859
2020-01-13 09:30:00.002586540,4882,2020-01-13T09:30:00.001724346,ABM,1,0,190,99859,,99791
2020-01-13 09:30:00.002586540,4388,2020-01-13T09:30:00.001663846,ABM,1,1,181,99859,,99859
2020-01-13 09:30:00.002586698,2714,2020-01-13T09:30:00.001724467,ABM,25,0,191,99859,,99791
2020-01-13 09:30:00.002586698,4388,2020-01-13T09:30:00.001663846,ABM,25,1,181,99859,,99859
2020-01-13 09:30:00.002586698,2714,2020-01-13T09:30:00.001724467,ABM,3,0,191,99859,,99791
2020-01-13 09:30:00.002586698,1760,2020-01-13T09:30:00.001669675,ABM,3,1,182,99859,,99859
2020-01-13 09:30:00.002605818,4760,2020-01-13T09:30:00.001737197,ABM,35,0,193,99859,,99791
2020-01-13 09:30:00.002605818,1760,2020-01-13T09:30:00.001669675,ABM,35,1,182,99859,,99859
2020-01-13 09:30:00.002605818,4760,2020-01-13T09:30:00.001737197,ABM,3,0,193,99859,,99791
2020-01-13 09:30:00.002605818,4377,2020-01-13T09:30:00.001706437,ABM,3,1,185,99859,,99859
2020-01-13 09:30:00.002606741,714,2020-01-13T09:30:00.001737820,ABM,32,0,195,99859,,99791
2020-01-13 09:30:00.002606741,4377,2020-01-13T09:30:00.001706437,ABM,32,1,185,99859,,99859
2020-01-13 09:30:00.002608141,3951,2020-01-13T09:30:00.001738776,ABM,6,0,196,99859,,99791
2020-01-13 09:30:00.002608141,4377,2020-01-13T09:30:00.001706437,ABM,6,1,185,99859,,99859
2020-01-13 09:30:00.002608141,3951,2020-01-13T09:30:00.001738776,ABM,21,0,196,99859,,99791
2020-01-13 09:30:00.002608141,3722,2020-01-13T09:30:00.001711940,ABM,21,1,187,99859,,99859
