ticker,date,strategy,arrival_mid,market_vwap,executed_avg,fills,oversize_count,null_nbbo_count,vwap_slip_bps,is_bps,effective_spread_bps,realized_spread_bps,markout_1s_bps,markout_10s_bps,markout_60s_bps,reversion_5m_bps,pov,price_var,schedule_rmse,hit_ratio_nbbo,error
NVDA,20200114,vwap_following,247.62,248.5068178300989,248.54064900000003,12,12,0,-1.3613779370940309,-37.179912769567316,2.166663264986223,1.0126646760020652,1.0286713830175789,-0.014028176738244635,-2.61237996578086,-2.0176748315246105,0.007189816918501987,0.5124628589646086,0.0,1.0,""
NVDA,20200115,twap,247.7,247.25906336888855,247.17358699999997,60,27,0,3.4569559442621967,21.252038756561134,2.279434741835224,-1.9821956490736816,1.2379057885837386,0.7013451927591291,0.711733533161327,5.670082216192733,0.010944559240710259,0.35325923964629685,0.0,1.0,""
NVDA,20200115,vwap_following,247.7,247.25906336888855,247.12981499999998,12,12,0,5.227244944131374,23.019176423092826,2.2177209535313867,-3.317962569068098,1.0684430335145,0.9255173025070873,4.739290321547843,8.9115728926155,0.010944559240710259,0.2923727384381382,0.0,1.0,""
NVDA,20200116,twap,248.20999999999998,248.0542096497127,248.05396900000005,60,21,0,0.009701496821654677,6.28624954675185,2.129354039241789,-4.491211583943559,1.2430956143945648,1.0664506538238534,0.4055761006374031,-23.493195074529492,0.012249092648462065,0.4245495785332613,0.0,1.0,""
NVDA,20200116,vwap_following,248.20999999999998,248.0542096497127,248.042338,12,12,0,0.478590939031711,6.754844687964977,2.0203846629154367,-5.400712690713994,1.1108864048238813,1.2355367246535987,0.1127905242536327,-3.0339805825249617,0.012249092648462065,0.37746663508985906,0.0,1.0,""
NVDA,20200117,twap,248.59,248.82375000139507,248.733381,60,15,0,3.631847900152385,-5.7677702240639235,2.3983724294390183,2.5113554664753472,1.2129307137887064,1.6523666551766052,1.2810947763191316,-13.89336340206181,0.007971665512103779,0.27131876097405666,0.0,1.0,""
NVDA,20200117,vwap_following,248.59,248.82375000139507,248.753654,12,11,0,2.8170944853401165,-6.5832897542140945,1.9219302628984969,2.6922324978730923,1.4800452225562506,2.0485150350135752,0.5880779899540853,-9.2600048313076,0.007971665512103779,0.25090140524021914,0.0,1.0,""
TSLA,20200113,twap,500.815,503.47371482690573,503.2782950000001,60,32,0,3.8814305722552325,-49.18572726456137,4.287924876461547,10.521479833912789,2.3505233672492647,2.4595642499410353,3.3127960434042163,-16.79753503627811,0.0026915190772180673,0.8626056145931792,0.0,1.0,""
TSLA,20200113,vwap_following,500.815,503.47371482690573,503.299921,12,12,0,3.451894742221074,-49.61754340425078,4.498779180428241,10.52042647160791,2.7198245886804315,4.300524793076125,4.7193343455946435,-0.894418826522816,0.0026915190772180673,0.7627859622740912,0.0,1.0,""
TSLA,20200114,twap,526.865,536.1580490141645,536.2118170000001,60,32,0,-1.0028383595937336,-177.40440150702932,6.308849949938965,24.62969197563004,2.8731781998243187,4.481104706158381,5.594466328213692,-36.94627357078762,0.001735625979543912,3.3619534777329547,0.0,1.0,""
TSLA,20200114,vwap_following,526.865,536.1580490141645,535.7003210000001,12,12,0,8.537184418026687,-167.69610811118852,6.098273873747136,29.4412485875326,2.571455503773182,2.0624156976304997,-3.035886557560166,-30.47811372263251,0.001735625979543912,3.222151901879844,0.0,1.0,""
TSLA,20200115,twap,530.23,533.9165464193345,533.606838,60,23,0,5.800689666044307,-63.686287082964384,6.196622944254425,3.277677556975422,2.8975575518459573,2.33150855766213,3.50077143372761,23.972023238760922,0.003110471183506291,1.5576943703475477,0.0,1.0,""
TSLA,20200115,vwap_following,530.23,533.9165464193345,533.749316,12,12,0,3.132145284801596,-66.37338513475291,5.461851171903724,14.233060818363114,3.0952403260186703,2.382630757973417,2.8059630468889445,17.38395038526721,0.003110471183506291,1.385039108954437,0.0,1.0,""
TSLA,20200116,twap,496.78,500.40738714106146,500.134863,60,21,0,5.446045523397608,-67.53216715648826,6.317937146383102,4.720810919750194,3.3027198476405055,3.2227434852959065,3.5284843614525307,-12.436812966380579,0.0032623734484559675,1.2874168395061747,0.0,1.0,""
TSLA,20200116,vwap_following,496.78,500.40738714106146,499.71354300000013,12,12,0,13.86558549875571,-59.051149402153,6.648212272491456,19.91244699570253,2.9422544220275175,4.761433878488191,14.0563623489825,10.316713075181521,0.0032623734484559675,1.3649938949802434,0.0,1.0,""
TSLA,20200117,twap,509.405,512.3834914662461,512.1960479999999,60,18,0,3.658265134769362,-54.79035345157453,4.4763677727439255,7.641121721987527,2.1964702097530564,2.666647316029611,3.2607021944182426,12.871518839222407,0.004093555760779151,0.7163118619817906,0.0,1.0,""
TSLA,20200117,vwap_following,509.405,512.3834914662461,512.10633,12,12,0,5.40925831652097,-53.0291222112069,4.595735581455888,8.573662002700676,2.2737941736644607,3.196939707371784,8.918949207077123,26.446764906802347,0.004093555760779151,0.745728746687666,0.0,1.0,""
AMD,20200113,twap,48.665,48.6870153502505,48.67163599999999,60,1,0,3.158819685262586,-1.3636083427500674,2.0543783314647,-6.745933306463192,1.1305399684895763,1.2332358122391225,0.3784344337553834,15.432098765431222,0.0015923843264158567,0.07384879191832852,0.0,1.0,""
AMD,20200113,vwap_following,48.665,48.6870153502505,48.68537,12,2,0,0.33794436538411826,-4.185759786294005,2.053799257136317,-3.3659754711959873,1.275267405028063,0.8162046289771893,0.5015398812697567,15.419407894737425,0.0015923843264158567,0.0745237403703537,0.0,1.0,""
AMD,20200114,twap,48.125,48.3678920624005,48.38646799999999,60,3,0,-3.840551408674384,-54.33101298701018,2.0320818347960588,4.379760564335974,1.1034283440709736,0.3977877449366992,1.8568515191747974,-9.318699523711267,0.0016703562051311005,0.10735599999284352,0.0,1.0,""
