Exchange,nbbo_share_bid_pct,nbbo_share_ask_pct,volume_share_pct,n_trades,avg_depth_at_best,adverse_selection_bps,routable,ticker,date
ARCA,8.9888271224501,7.685060318893817,8.19824926002897,16862,301.2704775009223,0.024245462367394822,true,MSFT,20200115
EDGX,2.2015023279370753,2.011484082768384,5.382328253552759,12459,231.84584400217523,0.08596041809111568,true,MSFT,20200115
NYSE,6.932309813948096,5.772063534681076,3.0904183905276406,4351,328.4470526571947,0.19113207988388267,true,MSFT,20200115
IEX,0.5002471335558552,0.36587970392789804,2.6731139751617987,4289,111.74753553450252,-0.13065752936268038,true,MSFT,20200115
CSE,0.0012204126215073316,0.0007322475729043989,2.591202247187593,257,172.31182795698925,-0.5994734590570564,true,MSFT,20200115
BATS Y,0.2640972912941865,0.137662543706027,1.4518370052750982,3979,156.70205074012569,0.38473968770880945,true,MSFT,20200115
EDGA,0.10776243447909739,0.08347622331110148,1.4192840603440329,4680,139.21018478747823,-0.18682006330439463,true,MSFT,20200115
NASDAQ PSX,0.8700321578725767,1.2501906894721104,1.4081430431162234,2915,190.07887742562374,0.22926844937218438,true,MSFT,20200115
NASDAQ BX,0.09153094661304986,0.06443778641558712,0.6768213600863778,1981,146.27284053156146,0.16113895285163993,true,MSFT,20200115
NSE,0.07529945874700236,0.030388274275532555,0.35089640770646857,853,107.12141928168873,-0.07274938653424218,true,MSFT,20200115
AMEX,0.08018110923303169,0.030022150489080357,0.10659720415838012,234,146.7549440783303,-0.20529947354801065,true,MSFT,20200115
FINRA,0.0,0.0,38.894241751690686,52037,0.0,-0.4083667930629163,false,MSFT,20200116
NASDAQ,57.135569178190146,63.480048554830184,26.68987339846367,42311,648.8837842509234,0.2763947848505916,true,MSFT,20200116
BATS,16.864369990018055,15.875991627333383,9.174660127339257,17330,458.4255009655657,-0.0578841155370027,true,MSFT,20200116
ARCA,10.777319695951643,9.859727418271106,9.033344932106417,17122,337.23358049852055,-0.01712247074211431,true,MSFT,20200116
EDGX,2.7310709436946463,3.21150384484575,5.5273789507471625,12133,305.8040574848242,-0.039470582854772514,true,MSFT,20200116
IEX,0.47835909006699795,0.2994583205448317,2.6215848899581475,4979,139.2782694039112,0.11520024484579319,true,MSFT,20200116
NYSE,10.22430340685685,5.73975606451488,2.282307859989624,3024,361.73692038067577,-0.05590461144694226,true,MSFT,20200116
BATS Y,0.5249507124232344,0.04451781127213102,1.3782235896310069,3965,141.03876055181615,-0.2714790522627704,true,MSFT,20200116
EDGA,0.07285989608823927,0.09567181801339959,1.3267323856479334,4949,153.4773239529598,-0.25235613781893906,true,MSFT,20200116
NASDAQ PSX,0.9715113658672817,1.0454772945337105,1.2879747629375167,2868,189.54243096983302,0.18219977779045152,true,MSFT,20200116
NASDAQ BX,0.05543988298175323,0.07299815016051298,0.7543010713488738,2646,151.214362597632,-0.02718504533022217,true,MSFT,20200116
NSE,0.08696181146015657,0.09719261280841027,0.518368133575612,1373,123.70439109950847,-0.04101803423238024,true,MSFT,20200116
AMEX,0.07313640423278668,0.1755826717875975,0.2656771598533491,572,192.60204230915528,0.35637950078037317,true,MSFT,20200116
CSE,0.004147622168210964,0.002073811084105482,0.24533098671074544,202,242.50764525993884,-12.797582325862244,true,MSFT,20200116
NASDAQ,56.506184056960684,59.13254795679384,44.65335549063875,51747,549.4850130031786,9.937635161409109,true,MSFT,20200117
FINRA,0.0,0.0,28.21875736353713,61172,0.0,-0.7385865762954131,false,MSFT,20200117
