window,ticker,strategy,is_bps,vwap_slip_bps,eff_spread_bps,markout_60s_bps
open,ASML,rl_v4,15.407548988653186,4.589667842962421,5.447155560054322,1.6213200385768627
open,ATVI,twap,-39.75466402509394,-8.453365105463245,2.798015732692744,1.7590698609095463
open,ATVI,ac_ra,-25.460458973083647,5.796274396877316,3.984079868023654,1.896888398711766
open,ATVI,vwap_following,-29.05101535413779,2.2169124206998045,3.0688638314188905,1.1145192970335633
open,ATVI,pov_5pct_cap,-29.05101535413779,2.2169124206998045,3.0688638314188905,1.1145192970335633
open,ATVI,toth,-29.05101535413779,2.2169124206998045,3.0688638314188905,1.1145192970335633
open,ATVI,rl_v4,-21.136701337302885,10.10655170024532,4.319759069463576,6.411864290675233
open,AVGO,twap,73.38575297151083,46.53318282805932,6.525513429068847,1.892696927268955
open,AVGO,ac_ra,52.53615268611525,25.62718210841757,9.621449053102591,0.5054794057578651
open,AVGO,vwap_following,62.30465874264393,35.42211303525469,7.865082684317459,-5.957840116714817
open,AVGO,pov_5pct_cap,62.30465874264393,35.42211303525469,7.865082684317459,-5.957840116714817
open,AVGO,toth,62.315425902805906,35.43290932175484,7.863071808581332,-5.954330134917398
open,AVGO,rl_v4,53.48927337884701,26.582881096187283,12.283479748960218,2.832285310285682
open,BIDU,twap,77.96385926372145,11.966169267697792,6.169442497885147,2.8108181975567796
open,BIDU,ac_ra,87.5282570952743,21.59418591237851,9.029684283754564,4.04813377121782
open,BIDU,vwap_following,80.44963327782534,14.468477724980078,6.669031784649228,4.7916537026723205
open,BIDU,pov_5pct_cap,80.44963327782534,14.468477724980078,6.669031784649228,4.7916537026723205
open,BIDU,toth,80.4460900683851,14.46491094742994,6.668101940105464,4.788403514285897
open,BIDU,rl_v4,86.01566098572052,20.071528576710296,11.296539850484322,1.3498029606716764
open,BIIB,twap,15.788151370158818,9.67418792723197,10.353022430464666,5.245773949504356
open,BIIB,ac_ra,19.63260548064148,13.520996239753396,15.756497357084505,7.503900054377937
open,BIIB,vwap_following,18.951892127011178,12.83986604234791,13.232305389111648,6.3103864143847135
open,BIIB,pov_5pct_cap,18.951892127011178,12.83986604234791,13.232305389111648,6.3103864143847135
open,BIIB,toth,18.951892127011178,12.83986604234791,13.232305389111648,6.3103864143847135
